Food Name,Category,Calories (per 100g),Carbs (g),Fiber (g),Protein (g),Fat (g),GI Score,Diabetic-friendly (Yes/No),Common Dishes
Bottle Gourd (Lau),Vegetables,542,33.2,1.8,16.4,40.5,Low,Yes,Bottle dish
Bottle Gourd (Lau),Vegetables,75,51.0,11.6,6.8,28.6,Low,Yes,Bottle dish
Bottle Gourd (Lau),Vegetables,427,17.4,13.4,37.9,39.4,Low,Yes,Bottle dish
Bottle Gourd (Lau),Vegetables,34,16.9,7.3,7.4,42.8,Low,Yes,Bottle dish
Bottle Gourd (Lau),Vegetables,288,46.1,0.7,30.7,25.8,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,519,22.3,13.1,14.2,41.8,Low,Yes,Bottle dish
Bottle Gourd (Lau),Vegetables,319,0.9,0.9,24.6,22.9,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,405,65.2,3.4,27.1,21.9,High,No,Bottle dish
Bottle Gourd (Lau),Vegetables,398,61.8,6.0,22.2,49.6,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,562,25.6,9.9,1.0,42.7,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,59,53.2,2.2,13.1,8.8,Medium,No,Bottle dish
Bottle Gourd (Lau),Vegetables,218,68.4,2.1,24.5,3.0,Low,Yes,Bottle dish
Bottle Gourd (Lau),Vegetables,328,65.2,14.7,33.1,16.1,High,No,Bottle dish
Bottle Gourd (Lau),Vegetables,319,30.2,9.6,0.5,0.8,High,No,Bottle dish
Bottle Gourd (Lau),Vegetables,97,28.3,1.0,11.4,45.8,High,No,Bottle dish
Bottle Gourd (Lau),Vegetables,80,47.2,4.3,27.7,21.4,Low,Yes,Bottle dish
Apple (Sheb),Fruits,587,48.8,6.4,10.4,33.0,Low,Yes,Apple dish
Apple (Sheb),Fruits,398,31.8,13.6,11.2,49.6,Low,Yes,Apple dish
Apple (Sheb),Fruits,399,29.4,4.0,22.9,22.1,Low,Yes,Apple dish
Apple (Sheb),Fruits,252,13.4,3.5,36.9,40.4,Low,Yes,Apple dish
Apple (Sheb),Fruits,415,20.6,14.7,1.4,10.0,Low,Yes,Apple dish
Apple (Sheb),Fruits,297,31.4,13.7,31.4,8.0,High,No,Apple dish
Apple (Sheb),Fruits,445,36.8,11.5,14.5,35.5,Medium,No,Apple dish
Apple (Sheb),Fruits,15,56.5,3.6,14.0,3.1,Low,Yes,Apple dish
Apple (Sheb),Fruits,18,37.9,8.4,35.1,0.4,Medium,No,Apple dish
Apple (Sheb),Fruits,105,24.4,13.7,32.5,25.5,High,No,Apple dish
Apple (Sheb),Fruits,363,0.7,14.4,22.8,4.6,Medium,No,Apple dish
Apple (Sheb),Fruits,101,48.4,14.8,32.4,12.3,High,No,Apple dish
Apple (Sheb),Fruits,249,9.6,8.1,22.9,30.9,High,No,Apple dish
Apple (Sheb),Fruits,582,39.6,5.4,18.5,17.2,High,No,Apple dish
Apple (Sheb),Fruits,570,20.6,7.4,27.2,37.0,Medium,No,Apple dish
Apple (Sheb),Fruits,343,1.6,3.7,9.7,19.6,Medium,No,Apple dish
Apple (Sheb),Fruits,504,14.0,1.8,16.9,9.1,Low,Yes,Apple dish
Apple (Sheb),Fruits,52,1.9,11.1,32.5,44.4,Low,Yes,Apple dish
Apple (Sheb),Fruits,378,67.2,0.3,3.1,34.5,Low,Yes,Apple dish
Apple (Sheb),Fruits,315,68.4,3.0,1.5,4.4,Low,Yes,Apple dish
Apple (Sheb),Fruits,431,21.3,1.6,38.6,44.8,Medium,No,Apple dish
Apple (Sheb),Fruits,58,47.1,7.2,22.7,25.7,Medium,No,Apple dish
Apple (Sheb),Fruits,525,21.0,1.5,24.7,45.0,High,No,Apple dish
Apple (Sheb),Fruits,101,18.6,7.8,14.2,24.5,High,No,Apple dish
Apple (Sheb),Fruits,567,6.0,13.5,33.1,43.9,Low,Yes,Apple dish
Apple (Sheb),Fruits,108,52.4,5.9,33.6,34.7,Low,Yes,Apple dish
Apple (Sheb),Fruits,363,61.4,11.9,9.5,29.6,High,No,Apple dish
Apple (Sheb),Fruits,162,56.3,10.7,29.0,14.7,Low,Yes,Apple dish
Apple (Sheb),Fruits,91,45.1,7.5,37.4,18.7,High,No,Apple dish
Apple (Sheb),Fruits,254,41.1,5.9,34.1,30.0,Medium,No,Apple dish
Apple (Sheb),Fruits,19,8.0,2.5,9.3,49.1,High,No,Apple dish
Apple (Sheb),Fruits,267,37.3,1.9,18.0,32.5,High,No,Apple dish
Apple (Sheb),Fruits,254,58.5,6.9,26.6,47.0,Low,Yes,Apple dish
Apple (Sheb),Fruits,36,61.6,1.3,29.4,3.2,Low,Yes,Apple dish
Apple (Sheb),Fruits,291,42.3,3.9,18.8,3.3,Low,Yes,Apple dish
Apple (Sheb),Fruits,577,17.1,2.8,23.6,37.3,High,No,Apple dish
Apple (Sheb),Fruits,77,21.6,5.9,5.5,42.0,Low,Yes,Apple dish
Apple (Sheb),Fruits,65,43.6,14.2,10.7,32.2,Medium,No,Apple dish
Apple (Sheb),Fruits,12,68.7,9.7,26.2,26.4,Low,Yes,Apple dish
Apple (Sheb),Fruits,141,31.7,7.7,27.9,46.6,High,No,Apple dish
Apple (Sheb),Fruits,550,40.5,12.4,8.6,33.7,Medium,No,Apple dish
Apple (Sheb),Fruits,335,2.7,6.1,30.6,41.4,High,No,Apple dish
Apple (Sheb),Fruits,178,14.7,3.6,29.3,42.6,Low,Yes,Apple dish
Apple (Sheb),Fruits,323,16.7,9.9,16.4,40.9,High,No,Apple dish
Apple (Sheb),Fruits,166,10.7,11.7,9.0,21.8,Low,Yes,Apple dish
Apple (Sheb),Fruits,216,52.3,2.5,5.1,38.8,High,No,Apple dish
Apple (Sheb),Fruits,68,21.1,2.9,33.3,6.7,Medium,No,Apple dish
Apple (Sheb),Fruits,387,42.5,2.4,2.2,10.6,Medium,No,Apple dish
Apple (Sheb),Fruits,470,54.2,8.5,20.2,28.0,Medium,No,Apple dish
Apple (Sheb),Fruits,307,53.6,6.4,30.0,18.8,Low,Yes,Apple dish
Guava (Peyara),Fruits,487,58.0,2.6,31.5,0.4,Medium,No,Guava dish
Guava (Peyara),Fruits,572,37.5,10.9,39.3,34.0,High,No,Guava dish
Guava (Peyara),Fruits,13,49.8,7.7,27.6,19.3,Medium,No,Guava dish
Guava (Peyara),Fruits,91,66.7,9.1,21.8,22.3,Low,Yes,Guava dish
Guava (Peyara),Fruits,585,45.2,3.7,14.6,9.9,Low,Yes,Guava dish
Guava (Peyara),Fruits,77,24.5,14.6,24.0,36.3,Medium,No,Guava dish
Guava (Peyara),Fruits,48,2.1,6.9,21.7,31.0,Low,Yes,Guava dish
Guava (Peyara),Fruits,168,63.2,8.2,33.7,29.0,Low,Yes,Guava dish
Guava (Peyara),Fruits,240,69.7,11.7,30.1,0.4,Medium,No,Guava dish
Guava (Peyara),Fruits,200,69.7,4.4,39.1,20.3,Medium,No,Guava dish
Guava (Peyara),Fruits,297,16.3,12.3,5.3,21.4,High,No,Guava dish
Guava (Peyara),Fruits,34,12.9,5.8,35.7,34.0,Medium,No,Guava dish
Guava (Peyara),Fruits,363,7.5,4.8,17.1,28.4,High,No,Guava dish
Guava (Peyara),Fruits,156,11.5,13.4,35.6,10.7,Low,Yes,Guava dish
Guava (Peyara),Fruits,12,14.7,6.8,5.9,47.8,Low,Yes,Guava dish
Guava (Peyara),Fruits,307,13.9,10.6,2.9,35.0,Medium,No,Guava dish
Guava (Peyara),Fruits,214,13.3,1.8,29.4,35.4,Low,Yes,Guava dish
Guava (Peyara),Fruits,348,19.1,9.4,16.3,23.6,Low,Yes,Guava dish
Guava (Peyara),Fruits,359,3.8,0.3,28.0,41.5,Low,Yes,Guava dish
Guava (Peyara),Fruits,49,27.1,10.0,17.2,31.8,High,No,Guava dish
Guava (Peyara),Fruits,134,49.4,13.0,9.4,26.1,High,No,Guava dish
Guava (Peyara),Fruits,167,57.9,12.7,31.7,24.7,Low,Yes,Guava dish
Guava (Peyara),Fruits,12,58.7,2.2,33.1,49.8,High,No,Guava dish
Guava (Peyara),Fruits,24,31.2,14.3,9.0,18.7,Low,Yes,Guava dish
Guava (Peyara),Fruits,60,11.8,14.4,24.8,44.4,High,No,Guava dish
Guava (Peyara),Fruits,338,35.6,13.3,9.0,31.9,Medium,No,Guava dish
Guava (Peyara),Fruits,172,16.7,1.8,13.2,26.8,High,No,Guava dish
Guava (Peyara),Fruits,215,40.5,9.8,3.2,33.9,High,No,Guava dish
Guava (Peyara),Fruits,448,44.1,10.1,11.5,45.4,Low,Yes,Guava dish
Guava (Peyara),Fruits,417,42.9,3.2,9.2,8.8,Medium,No,Guava dish
Guava (Peyara),Fruits,394,40.7,4.3,2.8,29.2,Medium,No,Guava dish
Guava (Peyara),Fruits,301,52.0,7.6,27.3,48.2,High,No,Guava dish
Guava (Peyara),Fruits,436,66.6,5.7,22.9,20.5,High,No,Guava dish
Guava (Peyara),Fruits,309,51.9,2.1,1.7,37.0,High,No,Guava dish
Guava (Peyara),Fruits,201,19.6,4.9,20.4,46.4,Medium,No,Guava dish
Guava (Peyara),Fruits,594,61.8,2.2,6.0,42.0,High,No,Guava dish
Guava (Peyara),Fruits,141,57.1,5.5,3.2,36.2,Low,Yes,Guava dish
Guava (Peyara),Fruits,204,26.0,10.3,33.7,16.2,Low,Yes,Guava dish
Guava (Peyara),Fruits,510,48.4,1.7,11.2,22.5,Low,Yes,Guava dish
Guava (Peyara),Fruits,466,41.6,0.4,10.2,25.5,Medium,No,Guava dish
Guava (Peyara),Fruits,345,11.0,1.8,19.2,48.1,High,No,Guava dish
Guava (Peyara),Fruits,264,48.7,12.5,4.4,29.5,High,No,Guava dish
Guava (Peyara),Fruits,185,48.8,8.8,38.1,4.7,Medium,No,Guava dish
Guava (Peyara),Fruits,355,61.2,8.6,1.4,17.4,Medium,No,Guava dish
Guava (Peyara),Fruits,383,61.3,13.7,37.7,3.3,Medium,No,Guava dish
Guava (Peyara),Fruits,464,64.1,1.6,12.7,30.7,High,No,Guava dish
Guava (Peyara),Fruits,335,64.6,4.8,22.9,28.2,High,No,Guava dish
Guava (Peyara),Fruits,107,58.1,10.1,13.7,38.7,Medium,No,Guava dish
Guava (Peyara),Fruits,405,31.7,9.8,9.6,29.4,Low,Yes,Guava dish
Guava (Peyara),Fruits,330,56.3,10.4,20.0,13.1,Medium,No,Guava dish
Papaya (Pepe),Fruits,188,62.7,6.7,21.5,30.1,Medium,No,Papaya dish
Papaya (Pepe),Fruits,125,55.9,7.9,7.7,11.8,Low,Yes,Papaya dish
Papaya (Pepe),Fruits,241,21.7,14.1,2.6,18.0,Medium,No,Papaya dish
Papaya (Pepe),Fruits,53,51.3,4.5,33.3,30.9,High,No,Papaya dish
Papaya (Pepe),Fruits,427,39.0,7.2,33.4,31.8,High,No,Papaya dish
Papaya (Pepe),Fruits,293,34.6,4.1,16.5,26.0,High,No,Papaya dish
Papaya (Pepe),Fruits,146,4.2,13.6,22.3,18.5,Low,Yes,Papaya dish
Papaya (Pepe),Fruits,312,29.8,9.2,28.3,31.7,Medium,No,Papaya dish
Papaya (Pepe),Fruits,297,68.3,5.8,7.8,32.7,High,No,Papaya dish
Papaya (Pepe),Fruits,435,39.1,5.1,4.6,33.5,Low,Yes,Papaya dish
Papaya (Pepe),Fruits,394,0.7,14.5,6.5,36.4,Medium,No,Papaya dish
Papaya (Pepe),Fruits,168,10.1,6.7,8.8,47.4,Low,Yes,Papaya dish
Papaya (Pepe),Fruits,269,9.2,13.0,4.2,33.8,Medium,No,Papaya dish
Papaya (Pepe),Fruits,576,57.2,4.7,21.7,34.9,High,No,Papaya dish
Papaya (Pepe),Fruits,12,35.7,9.4,36.6,2.3,Medium,No,Papaya dish
Papaya (Pepe),Fruits,255,58.3,13.2,37.3,28.0,High,No,Papaya dish
Papaya (Pepe),Fruits,259,51.6,6.0,12.4,18.0,High,No,Papaya dish
Papaya (Pepe),Fruits,77,4.4,11.2,4.5,12.2,High,No,Papaya dish
Papaya (Pepe),Fruits,481,20.2,1.2,12.3,44.4,High,No,Papaya dish
Papaya (Pepe),Fruits,480,13.0,11.8,3.8,5.2,Low,Yes,Papaya dish
Papaya (Pepe),Fruits,277,5.0,7.6,18.5,11.8,High,No,Papaya dish
Papaya (Pepe),Fruits,114,69.3,12.8,26.1,9.0,Low,Yes,Papaya dish
Papaya (Pepe),Fruits,542,3.1,3.7,38.5,35.1,High,No,Papaya dish
Papaya (Pepe),Fruits,360,35.5,2.0,18.8,47.8,Medium,No,Papaya dish
Papaya (Pepe),Fruits,51,47.0,7.4,20.6,13.5,Low,Yes,Papaya dish
Papaya (Pepe),Fruits,148,32.8,11.6,8.0,48.3,High,No,Papaya dish
Papaya (Pepe),Fruits,277,63.9,10.1,16.6,45.2,Low,Yes,Papaya dish
Papaya (Pepe),Fruits,571,12.6,1.5,35.9,6.4,Medium,No,Papaya dish
Papaya (Pepe),Fruits,50,24.3,3.8,27.9,24.2,High,No,Papaya dish
Papaya (Pepe),Fruits,464,41.2,4.3,27.6,4.3,Medium,No,Papaya dish
Papaya (Pepe),Fruits,287,49.3,7.2,30.3,19.0,High,No,Papaya dish
Papaya (Pepe),Fruits,366,12.5,9.4,27.5,42.5,High,No,Papaya dish
Papaya (Pepe),Fruits,153,7.3,2.2,20.9,45.2,High,No,Papaya dish
Papaya (Pepe),Fruits,570,65.9,1.8,28.1,1.4,High,No,Papaya dish
Papaya (Pepe),Fruits,510,36.0,10.7,24.5,27.3,High,No,Papaya dish
Papaya (Pepe),Fruits,51,36.7,3.8,28.5,48.2,Medium,No,Papaya dish
Papaya (Pepe),Fruits,22,51.8,14.3,13.6,32.4,Low,Yes,Papaya dish
Papaya (Pepe),Fruits,491,14.4,7.2,30.0,19.1,Medium,No,Papaya dish
Papaya (Pepe),Fruits,132,28.4,4.7,24.3,16.4,Medium,No,Papaya dish
Papaya (Pepe),Fruits,443,64.0,3.0,36.5,20.4,High,No,Papaya dish
Papaya (Pepe),Fruits,289,56.3,11.3,7.5,44.0,High,No,Papaya dish
Papaya (Pepe),Fruits,315,25.3,0.2,34.8,19.8,High,No,Papaya dish
Papaya (Pepe),Fruits,535,57.0,0.4,21.4,13.0,Medium,No,Papaya dish
Papaya (Pepe),Fruits,65,43.6,6.3,20.9,21.8,High,No,Papaya dish
Papaya (Pepe),Fruits,273,38.7,7.2,24.7,31.5,High,No,Papaya dish
Papaya (Pepe),Fruits,309,1.1,12.9,8.8,0.9,High,No,Papaya dish
Papaya (Pepe),Fruits,436,31.3,9.2,19.8,11.7,High,No,Papaya dish
Papaya (Pepe),Fruits,86,41.2,13.2,19.9,12.5,Low,Yes,Papaya dish
Papaya (Pepe),Fruits,179,49.0,14.2,18.6,21.1,High,No,Papaya dish
Papaya (Pepe),Fruits,429,20.6,13.6,3.0,43.3,High,No,Papaya dish
Mango (Aam),Fruits,326,23.7,2.4,7.3,40.1,High,No,Mango dish
Mango (Aam),Fruits,546,39.1,8.4,8.9,6.5,High,No,Mango dish
Mango (Aam),Fruits,381,7.9,6.8,27.5,27.1,High,No,Mango dish
Mango (Aam),Fruits,568,36.1,7.4,17.1,27.5,Medium,No,Mango dish
Mango (Aam),Fruits,388,9.1,1.7,34.9,29.2,High,No,Mango dish
Mango (Aam),Fruits,473,30.2,4.2,16.8,10.4,Low,Yes,Mango dish
Mango (Aam),Fruits,248,11.0,5.4,36.0,6.2,Low,Yes,Mango dish
Mango (Aam),Fruits,590,55.9,3.2,17.3,5.2,Low,Yes,Mango dish
Mango (Aam),Fruits,70,19.0,10.0,9.2,8.7,High,No,Mango dish
Mango (Aam),Fruits,447,15.2,10.6,38.1,2.6,High,No,Mango dish
Mango (Aam),Fruits,250,67.3,7.4,9.4,30.1,Low,Yes,Mango dish
Mango (Aam),Fruits,426,28.8,12.2,38.9,3.5,High,No,Mango dish
Mango (Aam),Fruits,243,59.1,6.4,33.4,21.1,Medium,No,Mango dish
Mango (Aam),Fruits,361,3.2,13.7,22.1,25.6,Medium,No,Mango dish
Mango (Aam),Fruits,182,69.7,10.0,7.9,44.9,Medium,No,Mango dish
Mango (Aam),Fruits,397,11.6,9.9,20.1,38.3,High,No,Mango dish
Mango (Aam),Fruits,15,25.7,13.4,36.9,11.5,High,No,Mango dish
Mango (Aam),Fruits,177,15.9,11.0,38.9,12.4,Medium,No,Mango dish
Mango (Aam),Fruits,521,66.5,13.3,9.5,39.0,High,No,Mango dish
Mango (Aam),Fruits,501,9.8,2.5,36.3,1.7,Low,Yes,Mango dish
Mango (Aam),Fruits,50,38.3,9.8,15.7,29.6,Medium,No,Mango dish
Mango (Aam),Fruits,590,29.2,7.4,31.1,19.6,Medium,No,Mango dish
Mango (Aam),Fruits,134,40.1,14.7,14.5,39.7,Low,Yes,Mango dish
Mango (Aam),Fruits,493,43.2,7.6,9.7,32.9,Low,Yes,Mango dish
Mango (Aam),Fruits,216,17.9,7.1,28.8,42.0,Low,Yes,Mango dish
Mango (Aam),Fruits,222,36.7,8.7,32.0,35.1,Medium,No,Mango dish
Mango (Aam),Fruits,490,34.8,12.5,6.8,48.4,Medium,No,Mango dish
Mango (Aam),Fruits,443,5.7,1.9,32.4,30.2,Medium,No,Mango dish
Mango (Aam),Fruits,341,34.2,11.7,10.3,3.3,Medium,No,Mango dish
Mango (Aam),Fruits,184,44.2,11.9,29.1,20.2,Medium,No,Mango dish
Mango (Aam),Fruits,192,17.3,9.3,3.6,3.0,Low,Yes,Mango dish
Mango (Aam),Fruits,305,15.3,7.1,10.6,38.5,Medium,No,Mango dish
Mango (Aam),Fruits,83,25.5,14.4,32.2,18.0,Low,Yes,Mango dish
Mango (Aam),Fruits,384,32.2,8.1,33.9,28.9,High,No,Mango dish
Mango (Aam),Fruits,133,22.9,13.0,15.9,25.5,Low,Yes,Mango dish
Mango (Aam),Fruits,466,10.7,9.4,30.4,4.2,High,No,Mango dish
Mango (Aam),Fruits,366,35.1,5.7,37.3,21.3,High,No,Mango dish
Mango (Aam),Fruits,488,52.4,3.1,5.6,36.5,High,No,Mango dish
Mango (Aam),Fruits,27,5.3,2.4,26.5,45.8,High,No,Mango dish
Mango (Aam),Fruits,118,41.9,11.4,7.9,48.3,Medium,No,Mango dish
Mango (Aam),Fruits,414,13.6,4.7,9.0,15.8,High,No,Mango dish
Mango (Aam),Fruits,31,55.9,13.3,12.7,32.9,Low,Yes,Mango dish
Mango (Aam),Fruits,57,54.5,11.3,7.5,49.7,Low,Yes,Mango dish
Mango (Aam),Fruits,378,19.5,3.7,11.1,20.8,Low,Yes,Mango dish
Mango (Aam),Fruits,454,39.6,13.1,26.6,25.1,Medium,No,Mango dish
Mango (Aam),Fruits,248,4.2,3.6,21.3,2.0,Low,Yes,Mango dish
Mango (Aam),Fruits,235,11.6,5.8,21.0,4.3,Medium,No,Mango dish
Mango (Aam),Fruits,121,15.8,1.9,34.5,42.8,High,No,Mango dish
Mango (Aam),Fruits,490,14.9,12.0,5.5,42.4,High,No,Mango dish
Mango (Aam),Fruits,507,15.3,13.7,19.3,45.4,Medium,No,Mango dish
Banana (Kola),Fruits,216,29.5,1.0,26.9,24.5,Medium,No,Banana dish
Banana (Kola),Fruits,332,60.6,12.4,39.0,18.2,High,No,Banana dish
Banana (Kola),Fruits,74,65.2,5.0,33.8,16.6,Medium,No,Banana dish
Banana (Kola),Fruits,363,60.5,11.8,11.6,36.2,Low,Yes,Banana dish
Banana (Kola),Fruits,385,1.3,4.5,12.9,0.6,High,No,Banana dish
Banana (Kola),Fruits,208,66.1,13.5,29.1,35.3,High,No,Banana dish
Banana (Kola),Fruits,170,15.6,14.0,6.4,9.1,Medium,No,Banana dish
Banana (Kola),Fruits,300,25.6,5.9,17.4,1.5,Medium,No,Banana dish
Banana (Kola),Fruits,280,24.4,1.5,13.6,16.2,Medium,No,Banana dish
Banana (Kola),Fruits,464,30.9,9.6,34.4,42.5,Medium,No,Banana dish
Banana (Kola),Fruits,254,24.2,11.1,28.3,35.5,Low,Yes,Banana dish
Banana (Kola),Fruits,564,4.5,11.9,5.5,28.1,Low,Yes,Banana dish
Banana (Kola),Fruits,547,23.2,8.8,7.9,38.6,Medium,No,Banana dish
Banana (Kola),Fruits,354,13.2,9.1,14.7,32.8,High,No,Banana dish
Banana (Kola),Fruits,555,50.1,6.9,12.9,13.5,High,No,Banana dish
Banana (Kola),Fruits,278,27.2,14.3,6.9,48.7,Medium,No,Banana dish
Banana (Kola),Fruits,313,63.3,5.6,19.8,7.0,Medium,No,Banana dish
Banana (Kola),Fruits,487,68.6,4.7,29.7,19.1,High,No,Banana dish
Banana (Kola),Fruits,243,9.7,1.3,25.0,37.6,Medium,No,Banana dish
Banana (Kola),Fruits,33,13.3,2.5,33.7,44.5,Low,Yes,Banana dish
Banana (Kola),Fruits,151,55.7,7.1,24.8,37.3,Medium,No,Banana dish
Banana (Kola),Fruits,270,35.6,10.1,33.8,33.6,Medium,No,Banana dish
Banana (Kola),Fruits,559,55.4,4.5,14.9,27.5,Low,Yes,Banana dish
Banana (Kola),Fruits,413,23.6,1.2,17.8,33.0,Low,Yes,Banana dish
Banana (Kola),Fruits,62,0.5,8.0,38.3,26.8,High,No,Banana dish
Banana (Kola),Fruits,23,46.4,13.4,1.7,1.5,Medium,No,Banana dish
Banana (Kola),Fruits,74,13.5,8.5,13.5,28.9,High,No,Banana dish
Banana (Kola),Fruits,309,60.3,10.2,14.7,14.9,Low,Yes,Banana dish
Banana (Kola),Fruits,293,39.4,11.5,27.2,7.7,High,No,Banana dish
Banana (Kola),Fruits,14,43.9,1.7,6.0,48.5,High,No,Banana dish
Banana (Kola),Fruits,310,40.0,8.1,18.2,4.8,Low,Yes,Banana dish
Banana (Kola),Fruits,442,13.6,9.0,12.2,32.5,High,No,Banana dish
Banana (Kola),Fruits,192,65.6,9.6,34.6,43.0,Low,Yes,Banana dish
Banana (Kola),Fruits,223,65.2,3.4,34.5,42.8,High,No,Banana dish
Banana (Kola),Fruits,356,39.9,1.0,28.1,32.5,High,No,Banana dish
Banana (Kola),Fruits,281,6.0,8.0,4.5,30.2,Low,Yes,Banana dish
Banana (Kola),Fruits,256,56.1,13.2,29.8,3.9,High,No,Banana dish
Banana (Kola),Fruits,285,47.2,13.4,0.9,33.9,Low,Yes,Banana dish
Banana (Kola),Fruits,372,17.8,3.6,3.8,25.4,High,No,Banana dish
Banana (Kola),Fruits,511,67.9,6.3,4.8,11.8,Medium,No,Banana dish
Banana (Kola),Fruits,419,59.5,1.0,30.5,22.0,Low,Yes,Banana dish
Banana (Kola),Fruits,165,26.4,9.2,1.4,45.0,Medium,No,Banana dish
Banana (Kola),Fruits,550,4.4,2.4,17.5,8.8,High,No,Banana dish
Banana (Kola),Fruits,493,26.1,4.6,2.3,47.9,Medium,No,Banana dish
Banana (Kola),Fruits,17,28.7,11.0,33.4,1.6,High,No,Banana dish
Banana (Kola),Fruits,266,38.3,11.0,3.3,48.5,Medium,No,Banana dish
Banana (Kola),Fruits,580,51.3,12.5,36.8,23.0,High,No,Banana dish
Banana (Kola),Fruits,463,8.2,11.0,30.8,33.3,Low,Yes,Banana dish
Banana (Kola),Fruits,19,27.2,1.4,38.4,43.8,High,No,Banana dish
Banana (Kola),Fruits,583,21.2,11.9,9.1,1.9,Medium,No,Banana dish
Orange (Komla),Fruits,507,58.1,13.8,22.6,11.0,Low,Yes,Orange dish
Orange (Komla),Fruits,300,61.5,2.1,11.7,14.8,Medium,No,Orange dish
Orange (Komla),Fruits,162,30.6,11.4,16.9,30.3,Medium,No,Orange dish
Orange (Komla),Fruits,405,32.1,0.2,24.0,11.3,Low,Yes,Orange dish
Orange (Komla),Fruits,201,41.9,5.4,6.0,29.4,Medium,No,Orange dish
Orange (Komla),Fruits,502,54.3,12.4,14.3,31.4,Low,Yes,Orange dish
Orange (Komla),Fruits,116,9.1,6.3,16.9,34.1,Low,Yes,Orange dish
Orange (Komla),Fruits,461,8.7,13.4,22.2,4.3,Medium,No,Orange dish
Orange (Komla),Fruits,67,24.8,7.1,29.2,6.6,Low,Yes,Orange dish
Orange (Komla),Fruits,407,3.0,0.8,12.1,0.2,Low,Yes,Orange dish
Orange (Komla),Fruits,345,37.9,14.9,23.0,10.7,Low,Yes,Orange dish
Orange (Komla),Fruits,360,16.2,5.7,22.5,17.2,High,No,Orange dish
Orange (Komla),Fruits,193,50.6,12.0,13.9,6.0,Medium,No,Orange dish
Orange (Komla),Fruits,25,11.8,10.8,1.5,34.3,Low,Yes,Orange dish
Orange (Komla),Fruits,171,24.7,14.7,28.1,40.7,Medium,No,Orange dish
Orange (Komla),Fruits,324,48.4,3.9,12.4,28.7,Medium,No,Orange dish
Orange (Komla),Fruits,19,44.1,12.2,9.0,11.7,Medium,No,Orange dish
Orange (Komla),Fruits,153,47.6,7.3,3.4,0.9,High,No,Orange dish
Orange (Komla),Fruits,317,45.3,13.8,20.2,27.7,Low,Yes,Orange dish
Orange (Komla),Fruits,95,16.2,3.0,32.2,19.9,Low,Yes,Orange dish
Orange (Komla),Fruits,471,58.0,11.0,11.2,14.9,Medium,No,Orange dish
Orange (Komla),Fruits,455,54.3,9.7,30.0,35.0,Medium,No,Orange dish
Orange (Komla),Fruits,498,20.2,12.9,12.1,2.2,Medium,No,Orange dish
Orange (Komla),Fruits,460,57.7,1.0,11.7,46.7,Low,Yes,Orange dish
Orange (Komla),Fruits,99,30.2,14.4,11.2,27.6,High,No,Orange dish
Orange (Komla),Fruits,559,17.0,2.7,31.5,18.7,High,No,Orange dish
Orange (Komla),Fruits,367,31.5,5.1,4.3,4.7,Low,Yes,Orange dish
Orange (Komla),Fruits,70,32.1,11.2,34.6,30.2,Medium,No,Orange dish
Orange (Komla),Fruits,78,51.4,8.7,26.4,8.1,Low,Yes,Orange dish
Orange (Komla),Fruits,270,25.0,6.7,33.2,19.0,High,No,Orange dish
Orange (Komla),Fruits,56,2.9,7.5,20.8,6.5,Medium,No,Orange dish
Orange (Komla),Fruits,85,14.8,4.9,38.2,32.0,Low,Yes,Orange dish
Orange (Komla),Fruits,463,40.8,13.4,27.5,2.4,High,No,Orange dish
Orange (Komla),Fruits,499,47.1,3.0,22.9,14.2,High,No,Orange dish
Orange (Komla),Fruits,415,36.4,1.9,39.9,30.0,High,No,Orange dish
Orange (Komla),Fruits,263,48.8,4.3,34.8,16.0,Low,Yes,Orange dish
Orange (Komla),Fruits,194,5.4,10.4,36.0,2.3,Medium,No,Orange dish
Orange (Komla),Fruits,495,17.8,3.9,15.7,40.5,High,No,Orange dish
Orange (Komla),Fruits,62,34.6,13.2,27.4,5.4,Low,Yes,Orange dish
Orange (Komla),Fruits,311,63.6,3.3,13.7,43.1,High,No,Orange dish
Orange (Komla),Fruits,445,24.0,10.5,36.9,28.1,Low,Yes,Orange dish
Orange (Komla),Fruits,442,59.2,12.3,2.0,37.2,High,No,Orange dish
Orange (Komla),Fruits,600,9.5,6.5,38.7,28.3,Medium,No,Orange dish
Orange (Komla),Fruits,98,66.3,12.5,3.8,34.6,Low,Yes,Orange dish
Orange (Komla),Fruits,140,67.6,5.9,31.1,35.4,Low,Yes,Orange dish
Orange (Komla),Fruits,81,10.7,7.0,34.3,24.3,High,No,Orange dish
Orange (Komla),Fruits,539,57.8,1.6,5.8,49.5,High,No,Orange dish
Orange (Komla),Fruits,54,32.7,6.9,23.3,42.0,Medium,No,Orange dish
Orange (Komla),Fruits,239,40.8,13.7,18.6,10.7,High,No,Orange dish
Orange (Komla),Fruits,102,43.6,0.3,1.0,14.7,Low,Yes,Orange dish
Brown Rice,Whole Grain,19,43.7,0.3,37.1,45.3,High,No,Brown dish
Brown Rice,Whole Grain,537,58.7,13.8,33.3,7.8,Low,Yes,Brown dish
